STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,MEASURE,FREQ,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,UNIT_MULT,CURRENCY,BASE_PER,METHODOLOGY,DECIMALS,PRICE_BASE,ADJUSTMENT
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,1995,1.36542092886908,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,1996,1.96858781649494,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,1997,0.786281488611991,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,1998,0.924239620826217,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,1999,1.46857303025634,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2000,1.5484569243914,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2001,1.1118217883281,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2002,0.170319290572198,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2003,0.682670950474375,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2004,0.353619145742497,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2005,1.71948541248813,,PT_PB1GQ,0,,,,2,,
DATAFLOW,OECD.ECO.MAD:DSD_EO@DF_EO(1.1),I,GRC,NOOQ,A,2006,2.50525606553778,,PT_PB1GQ,0,,,,2,,
