inst_instid,indic_indicid,area_areaid,value,value_normalized,date_from,date_until,date_published,date_updated,is_forecast
OECD,YPGXA,NOR,2377327186081.71,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,BSIID,WXD,-121750000000.0,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,ITV,EA17,2536671000488.97,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPOTG,NLD,61191087152.1128,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GDPVTR_ANNPCT,CZE,1.48368044913211,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,LF,NLD,10275345.9304867,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPERGX,NOR,690506643384.999,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,XSHA,NLD,2.9208628479023,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,ET_ANNPCT,ZAF,1.55902380227589,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PXGSX,MEX,1.50680675041764,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,XMKT,ROU,107086761631.488,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GDP,CHN,140372157000686.0,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,TEV,ITA,2411258247317.84,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,POP,PRT,10268955.4794095,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GNFLQ,BEL,76.8541637418908,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,BSIID,DNK,7064135284.8962,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,WSSS,OECD,38278963407158.9,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CLFS,HUN,1.01679149393046,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PCP,NOR,1.20884086180663,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,XMKT,FRA,932298153411.228,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,XGSD,WXOECD,13303238817123.9,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,UNR,IRL,4.35139346645238,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPGXQA,CAN,37.6629065738576,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPGQA,ISR,40.5728865599637,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,BSII,ESP,-31355461038.468,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PCORE_YTYPCT,ISL,3.23401975010772,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,POPS1574,FIN,4121211.11977468,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YRGQA,AUT,48.8738176649848,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLGA,ITA,-96014363622.9481,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,ET_NA,KOR,28851934.184251,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,IGAA,SVK,3917542529.288,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,FDD,NZL,449623431638.47,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,EE,ITA,20742934.2720175,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CPI_YTYPCT,SWE,2.07214964057409,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,IT,SWE,1838406168821.3,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,ITISKV,POL,489807068768.471,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLG,DEU,-37727288280.6165,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,ITV,DNK,458228332884.294,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GDPV_ANNPCT,IRL,2.8730616296686,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PTDD,AUT,1.37847777585086,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CBD,COL,-12573380325.3952,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,XGSV,ISL,1416327766210.26,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CPI_YTYPCT,OECD,3.42653005094358,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLGX,ITA,3105172091.00767,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,SSRGA,HUN,8937821260677.21,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CBR,IDN,-47721000000000.0,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,MPEN,NOR,0.239496214886227,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GNINTP,EST,111765307.121856,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,CBGDPR,HRV,1.09840890958354,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PDTY,CHE,1.07745878926046,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,TY,AUT,70369315506.2253,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,KTPV_AV,ISR,4813617436359.56,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GNINTP,DNK,-25535114054.8054,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,YPG,USA,11540393588759.6,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PXGSD,FIN,1.24480370433964,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,GAP,CAN,-0.356982773890613,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,PDTY,LTU,1.19015880886025,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,ET_NA,EST,688441.34313048,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,EE,MEX,42265005.6495615,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,RPMGS,MEX,0.821266338684968,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
OECD,NLGXQ,AUS,-0.593734470247282,0,1970-01-01 00:00:00.000002025,1971-01-01 00:00:00.000002025,2024-05-02,2024-11-29 19:45:50.982142,N
