inst_instid,indic_indicid,area_areaid,date_published,date_from,date_until,value,is_forecast
FRBP,RGDP,USA,2023-10-01,2023-01-01,2024-01-01,2.4,Y
FRBP,RGDP,USA,2023-10-01,2023-10-01,2024-01-01,1.3,Y
FRBP,RGDP,USA,2023-10-01,2024-01-01,2025-01-01,1.7,Y
FRBP,RGDP,USA,2023-10-01,2024-01-01,2024-04-01,0.8,Y
FRBP,RGDP,USA,2023-10-01,2024-04-01,2024-07-01,1.3,Y
FRBP,RGDP,USA,2023-10-01,2024-07-01,2024-10-01,1.5,Y
FRBP,RGDP,USA,2023-10-01,2024-10-01,2025-01-01,1.7,Y
FRBP,RGDP,USA,2023-10-01,2025-01-01,2026-01-01,1.8,Y
FRBP,RGDP,USA,2023-10-01,2026-01-01,2027-01-01,2.1,Y
FRBP,UR,USA,2023-10-01,2023-01-01,2024-01-01,3.7,Y
FRBP,UR,USA,2023-10-01,2023-10-01,2024-01-01,3.9,Y
FRBP,UR,USA,2023-10-01,2024-01-01,2025-01-01,4.1,Y
FRBP,UR,USA,2023-10-01,2024-01-01,2024-04-01,4.0,Y
FRBP,UR,USA,2023-10-01,2024-04-01,2024-07-01,4.0,Y
FRBP,UR,USA,2023-10-01,2024-07-01,2024-10-01,4.2,Y
FRBP,UR,USA,2023-10-01,2024-10-01,2025-01-01,4.2,Y
FRBP,UR,USA,2023-10-01,2025-01-01,2026-01-01,4.2,Y
FRBP,UR,USA,2023-10-01,2026-01-01,2027-01-01,4.0,Y
FRBP,PL,USA,2023-10-01,2023-01-01,2024-01-01,296.5,Y
FRBP,PL,USA,2023-10-01,2023-10-01,2024-01-01,148.8,Y
FRBP,PL,USA,2023-10-01,2024-01-01,2025-01-01,120.0,Y
FRBP,PL,USA,2023-10-01,2024-01-01,2024-04-01,65.7,Y
FRBP,PL,USA,2023-10-01,2024-04-01,2024-07-01,97.9,Y
FRBP,PL,USA,2023-10-01,2024-07-01,2024-10-01,81.5,Y
FRBP,PL,USA,2023-10-01,2024-10-01,2025-01-01,118.8,Y
FRBP,HCPI,USA,2023-10-01,2023-01-01,2024-01-01,3.3,Y
FRBP,HCPI,USA,2023-10-01,2023-10-01,2024-01-01,3.3,Y
FRBP,HCPI,USA,2023-10-01,2024-01-01,2025-01-01,2.5,Y
FRBP,HCPI,USA,2023-10-01,2024-01-01,2024-04-01,2.8,Y
FRBP,HCPI,USA,2023-10-01,2024-04-01,2024-07-01,2.6,Y
FRBP,HCPI,USA,2023-10-01,2024-07-01,2024-10-01,2.5,Y
FRBP,HCPI,USA,2023-10-01,2024-10-01,2025-01-01,2.4,Y
FRBP,HCPI,USA,2023-10-01,2025-01-01,2026-01-01,2.3,Y
FRBP,CCPI,USA,2023-10-01,2023-01-01,2024-01-01,3.9,Y
FRBP,CCPI,USA,2023-10-01,2023-10-01,2024-01-01,3.0,Y
FRBP,CCPI,USA,2023-10-01,2024-01-01,2025-01-01,2.6,Y
FRBP,CCPI,USA,2023-10-01,2024-01-01,2024-04-01,2.8,Y
FRBP,CCPI,USA,2023-10-01,2024-04-01,2024-07-01,2.6,Y
FRBP,CCPI,USA,2023-10-01,2024-07-01,2024-10-01,2.5,Y
FRBP,CCPI,USA,2023-10-01,2024-10-01,2025-01-01,2.4,Y
FRBP,CCPI,USA,2023-10-01,2025-01-01,2026-01-01,2.3,Y
FRBP,HPCE,USA,2023-10-01,2023-01-01,2024-01-01,3.1,Y
FRBP,HPCE,USA,2023-10-01,2023-10-01,2024-01-01,2.9,Y
FRBP,HPCE,USA,2023-10-01,2024-01-01,2025-01-01,2.4,Y
FRBP,HPCE,USA,2023-10-01,2024-01-01,2024-04-01,2.5,Y
FRBP,HPCE,USA,2023-10-01,2024-04-01,2024-07-01,2.5,Y
FRBP,HPCE,USA,2023-10-01,2024-07-01,2024-10-01,2.3,Y
FRBP,HPCE,USA,2023-10-01,2024-10-01,2025-01-01,2.3,Y
FRBP,HPCE,USA,2023-10-01,2025-01-01,2026-01-01,2.1,Y
FRBP,CPCE,USA,2023-10-01,2023-01-01,2024-01-01,3.5,Y
FRBP,CPCE,USA,2023-10-01,2023-10-01,2024-01-01,2.7,Y
FRBP,CPCE,USA,2023-10-01,2024-01-01,2025-01-01,2.4,Y
FRBP,CPCE,USA,2023-10-01,2024-01-01,2024-04-01,2.7,Y
FRBP,CPCE,USA,2023-10-01,2024-04-01,2024-07-01,2.4,Y
FRBP,CPCE,USA,2023-10-01,2024-07-01,2024-10-01,2.3,Y
FRBP,CPCE,USA,2023-10-01,2024-10-01,2025-01-01,2.2,Y
FRBP,CPCE,USA,2023-10-01,2025-01-01,2026-01-01,2.1,Y
