inst_instid,indic_indicid,area_areaid,date_published,date_from,date_until,value,is_forecast
FRBP,RGDP,USA,2024-10-01,2024-01-01,2025-01-01,2.7,Y
FRBP,RGDP,USA,2024-10-01,2024-10-01,2025-01-01,2.2,Y
FRBP,RGDP,USA,2024-10-01,2025-01-01,2026-01-01,2.2,Y
FRBP,RGDP,USA,2024-10-01,2025-01-01,2025-04-01,1.9,Y
FRBP,RGDP,USA,2024-10-01,2025-04-01,2025-07-01,1.8,Y
FRBP,RGDP,USA,2024-10-01,2025-07-01,2025-10-01,2.2,Y
FRBP,RGDP,USA,2024-10-01,2025-10-01,2026-01-01,2.0,Y
FRBP,RGDP,USA,2024-10-01,2026-01-01,2027-01-01,2.1,Y
FRBP,RGDP,USA,2024-10-01,2027-01-01,2028-01-01,2.1,Y
FRBP,UR,USA,2024-10-01,2024-01-01,2025-01-01,4.0,Y
FRBP,UR,USA,2024-10-01,2024-10-01,2025-01-01,4.2,Y
FRBP,UR,USA,2024-10-01,2025-01-01,2026-01-01,4.3,Y
FRBP,UR,USA,2024-10-01,2025-01-01,2025-04-01,4.2,Y
FRBP,UR,USA,2024-10-01,2025-04-01,2025-07-01,4.3,Y
FRBP,UR,USA,2024-10-01,2025-07-01,2025-10-01,4.2,Y
FRBP,UR,USA,2024-10-01,2025-10-01,2026-01-01,4.3,Y
FRBP,UR,USA,2024-10-01,2026-01-01,2027-01-01,4.2,Y
FRBP,UR,USA,2024-10-01,2027-01-01,2028-01-01,4.1,Y
FRBP,PL,USA,2024-10-01,2024-01-01,2025-01-01,208.4,Y
FRBP,PL,USA,2024-10-01,2024-10-01,2025-01-01,138.8,Y
FRBP,PL,USA,2024-10-01,2025-01-01,2026-01-01,134.1,Y
FRBP,PL,USA,2024-10-01,2025-01-01,2025-04-01,123.7,Y
FRBP,PL,USA,2024-10-01,2025-04-01,2025-07-01,117.2,Y
FRBP,PL,USA,2024-10-01,2025-07-01,2025-10-01,114.2,Y
FRBP,PL,USA,2024-10-01,2025-10-01,2026-01-01,128.2,Y
FRBP,HCPI,USA,2024-10-01,2024-01-01,2025-01-01,2.5,Y
FRBP,HCPI,USA,2024-10-01,2024-10-01,2025-01-01,2.2,Y
FRBP,HCPI,USA,2024-10-01,2025-01-01,2026-01-01,2.4,Y
FRBP,HCPI,USA,2024-10-01,2025-01-01,2025-04-01,2.3,Y
FRBP,HCPI,USA,2024-10-01,2025-04-01,2025-07-01,2.4,Y
FRBP,HCPI,USA,2024-10-01,2025-07-01,2025-10-01,2.2,Y
FRBP,HCPI,USA,2024-10-01,2025-10-01,2026-01-01,2.3,Y
FRBP,HCPI,USA,2024-10-01,2026-01-01,2027-01-01,2.3,Y
FRBP,CCPI,USA,2024-10-01,2024-01-01,2025-01-01,3.1,Y
FRBP,CCPI,USA,2024-10-01,2024-10-01,2025-01-01,2.9,Y
FRBP,CCPI,USA,2024-10-01,2025-01-01,2026-01-01,2.4,Y
FRBP,CCPI,USA,2024-10-01,2025-01-01,2025-04-01,2.5,Y
FRBP,CCPI,USA,2024-10-01,2025-04-01,2025-07-01,2.5,Y
FRBP,CCPI,USA,2024-10-01,2025-07-01,2025-10-01,2.3,Y
FRBP,CCPI,USA,2024-10-01,2025-10-01,2026-01-01,2.4,Y
FRBP,CCPI,USA,2024-10-01,2026-01-01,2027-01-01,2.4,Y
FRBP,HPCE,USA,2024-10-01,2024-01-01,2025-01-01,2.4,Y
FRBP,HPCE,USA,2024-10-01,2024-10-01,2025-01-01,2.0,Y
FRBP,HPCE,USA,2024-10-01,2025-01-01,2026-01-01,2.2,Y
FRBP,HPCE,USA,2024-10-01,2025-01-01,2025-04-01,2.2,Y
FRBP,HPCE,USA,2024-10-01,2025-04-01,2025-07-01,2.2,Y
FRBP,HPCE,USA,2024-10-01,2025-07-01,2025-10-01,2.1,Y
FRBP,HPCE,USA,2024-10-01,2025-10-01,2026-01-01,2.1,Y
FRBP,HPCE,USA,2024-10-01,2026-01-01,2027-01-01,2.1,Y
FRBP,CPCE,USA,2024-10-01,2024-01-01,2025-01-01,2.7,Y
FRBP,CPCE,USA,2024-10-01,2024-10-01,2025-01-01,2.3,Y
FRBP,CPCE,USA,2024-10-01,2025-01-01,2026-01-01,2.2,Y
FRBP,CPCE,USA,2024-10-01,2025-01-01,2025-04-01,2.3,Y
FRBP,CPCE,USA,2024-10-01,2025-04-01,2025-07-01,2.2,Y
FRBP,CPCE,USA,2024-10-01,2025-07-01,2025-10-01,2.1,Y
FRBP,CPCE,USA,2024-10-01,2025-10-01,2026-01-01,2.1,Y
FRBP,CPCE,USA,2024-10-01,2026-01-01,2027-01-01,2.1,Y
